Grenada,Population,SNA93 Table Code,Sub Group,GDP,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Year,Value,Value,Year,Item,Value.E,Expenditure ,Value,Year,Industry,Value_I,Year,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,OID,Year,Description,Magnitude,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BRDZF...,1981,OI OTHER SECTORS ASSETS,MILLIONS OF US$,0,2012,"Steel, stainless; angles, shapes and sections",Import,1837.035,357,Weight in kilograms,357
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BSDZF...,1981,OI MON AUTH LIAB,MILLIONS OF US$,0,2012,"Steel, alloy; flat-rolled, width 600mm or more, n.e.c. in heading no. 7225, (other than plated or coated with zinc)",Import,1989.257,1409,Weight in kilograms,1409
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BTDZF...,1981,OI GEN GOVT LIAB,MILLIONS OF US$,7581480,2012,"Steel, alloy; flat-rolled, width less than 600mm, n.e.c. in item no. 7226.9",Import,1418.517,70,Weight in kilograms,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BUDZF...,1980,OI BANKS LIAB,MILLIONS OF US$,-74074.1,2012,"Steel, alloy; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7227",Import,55.555,5,Weight in kilograms,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BTDZF...,1980,OI GEN GOVT LIAB,MILLIONS OF US$,1274070,2012,"Steel, alloy; bars and rods, of high speed steel",Import,183.333,6,Weight in kilograms,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BSDZF...,1980,OI MON AUTH LIAB,MILLIONS OF US$,0,2012,"Steel, alloy; bars and rods, of silico-manganese steel",Import,18.518,2,Weight in kilograms,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BRDZF...,1980,OI OTHER SECTORS ASSETS,MILLIONS OF US$,0,2012,"Steel, alloy; bars and rods n.e.c. in heading no. 7228",Import,886.295,120,Weight in kilograms,120
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BQDZF...,1980,OI BANKS ASSETS,MILLIONS OF US$,485185,2012,"Steel, alloy; angles, shapes and sections",Import,945.555,100,Weight in kilograms,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BPDZF...,1980,OI GEN GOVT ASSETS,MILLIONS OF US$,0,2012,"Steel, alloy or non-alloy; hollow drill bars and rods",Import,2289.627,74,Weight in kilograms,74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BNDZF...,1980,PI DEBT SECURITIES LIAB,MILLIONS OF US$,0,2012,"Steel, alloy; wire, of materials other than silico-manganese steel",Import,518.888,122,Weight in kilograms,122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BMDZF...,1980,PI EQUITY SECURITIES LIAB,MILLIONS OF US$,0,2011,Ferrous waste and scrap; of cast iron,Export,3348.145,10450,Weight in kilograms,10450
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878CBDZF...,1980,OVERALL BALANCE,MILLIONS OF US$,906642,2011,Ferrous waste and scrap; of cast iron,Re-Export,3348.145,10450,Weight in kilograms,10450
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878CADZF...,1980,NET ERRORS AND OMISSIONS,MILLIONS OF US$,-960025,2011,Ferrous waste and scrap; of alloy steel (excluding stainless),Export,11640.729,22604,Weight in kilograms,22604
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BVDZF...,1980,OI OTHER SECTORS LIAB,MILLIONS OF US$,-59259.3,2011,Ferrous waste and scrap; of alloy steel (excluding stainless),Re-Export,11640.729,22604,Weight in kilograms,22604
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BLDZF...,1980,PI DEBT SECURITIES ASSETS,MILLIONS OF US$,0,2011,Ferrous waste and scrap; n.e.c. in heading no. 7204,Export,740.74,700,Weight in kilograms,700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BKDZF...,1980,PI EQUITY SECURITIES ASSETS,MILLIONS OF US$,0,2011,Ferrous waste and scrap; n.e.c. in heading no. 7204,Import,1777.776,1200,Weight in kilograms,1200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BJDZF...,1980,"FINANCIAL ACCOUNT, N.I.E.",MILLIONS OF US$,1625930,2011,Ferrous waste and scrap; n.e.c. in heading no. 7204,Re-Export,185.185,200,Weight in kilograms,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BIDZF...,1980,"OTHER INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,1140740,2011,Iron or non-alloy steel; ingots (excluding iron of heading no. 7203),Import,64808.083,78000,Weight in kilograms,78000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BHDZF...,1980,OTHER INVESTMENT ASSETS,MILLIONS OF US$,485185,2011,Iron or non-alloy steel; primary forms (excluding ingots and iron of heading no. 7203),Export,962.962,19000,Weight in kilograms,19000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AIDZF...,1980,"BALANCE ON GOODS, SERV. & INC.",MILLIONS OF US$,-23959300,2011,Iron or non-alloy steel; primary forms (excluding ingots and iron of heading no. 7203),Re-Export,962.962,19000,Weight in kilograms,19000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AJDZF...,1980,"CURRENT TRANSFERS, N.I.E. : CRE",MILLIONS OF US$,26100000,2011,"Iron or non-alloy steel; in coils, flat-rolled, of a width 600mm or more, hot-rolled, with patterns in relief",Import,580393.864,372743,Weight in kilograms,372743
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AKDZF...,1980,CURRENT TRANSFERS: DEB,MILLIONS OF US$,-1900000,2011,"Iron or non-alloy steel; in coils, without patterns in relief, flat-rolled, of a width 600mm or more, hot-rolled, pickled, of a thickness of 3mm or more but less than 4.75mm",Import,53025.873,18000,Weight in kilograms,18000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878ALDZF...,1980,"CURRENT ACCOUNT, N.I.E.",MILLIONS OF US$,240741,2011,"Iron or non-alloy steel; in coils, without patterns in relief, flat-rolled, of a width 600mm or more, hot-rolled, pickled, of a thickness of less than 3mm",Import,59110.311,15876,Weight in kilograms,15876
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BADZF...,1980,"CAPITAL ACCOUNT, N.I.E.:  CREDIT",MILLIONS OF US$,0,2011,"Iron or non-alloy steel; (not in coils), flat-rolled, of a width 600mm or more, hot-rolled, with patterns in relief",Import,6258.883,4274,Weight in kilograms,4274
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BBDZF...,1980,CAPITAL ACCOUNT:  DEBIT,MILLIONS OF US$,0,2011,"Iron or non-alloy steel; flat-rolled, hot-rolled, of a width 600mm or more, n.e.c. in heading no. 7208",Import,185884.629,138388,Weight in kilograms,138388
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BCDZF...,1980,"CAPITAL ACCOUNT, N.I.E.",MILLIONS OF US$,0,2011,"Iron or non-alloy steel; (not in coils), flat-rolled, width 600mm or more, cold-rolled, of a thickness of 3mm or more",Import,4631.477,3785,Weight in kilograms,3785
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BDDZF...,1980,DIRECT INVESTMENT ABROAD,MILLIONS OF US$,0,2011,"Iron or non-alloy steel; flat-rolled, width 600mm or more, cold-rolled, n.e.c. in heading no. 7209",Import,251.111,100,Weight in kilograms,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BGDZF...,1980,"PORTFOLIO INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,0,2011,"Iron or non-alloy steel; flat-rolled, width 600mm or more, electrolytically plated or coated with zinc",Export,183649.446,88419,Weight in kilograms,88419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BEDZF...,1980,"DIR. INVEST. IN REP. ECON., N.I.E.",MILLIONS OF US$,0,2011,"Iron or non-alloy steel; flat-rolled, width 600mm or more, electrolytically plated or coated with zinc",Import,300925.625,254482,Weight in kilograms,254482
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BFDZF...,1980,PORTFOLIO INVESTMENT ASSETS,MILLIONS OF US$,0,2011,"Iron or non-alloy steel; flat-rolled, width 600mm or more, electrolytically plated or coated with zinc",Re-Export,8266.288,1475,Weight in kilograms,1475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AADZF...,1980,GOODS EXPORTS: F.O.B.,MILLIONS OF US$,17400000,2011,"Iron or non-alloy steel; flat-rolled, width 600mm or more, corrugated, plated or coated with zinc (not electrolytically)",Import,51619.208,30433,Weight in kilograms,30433
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878ABDZF...,1980,GOODS IMPORTS: F.O.B,MILLIONS OF US$,-48792600,2011,"Iron or non-alloy steel; flat-rolled, width 600mm or more, (not corrugated), plated or coated with zinc (not electrolytically)",Export,5152.217,920,Weight in kilograms,920
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878ACDZF...,1980,TRADE BALANCE,MILLIONS OF US$,-31392600,2011,"Iron or non-alloy steel; flat-rolled, width 600mm or more, (not corrugated), plated or coated with zinc (not electrolytically)",Re-Export,5152.217,920,Weight in kilograms,920
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878ADDZF...,1980,SERVICES: CREDIT,MILLIONS OF US$,20600000,2011,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with aluminium, other than plated or coated with aluminium zinc-alloys",Import,2370.738,470,Weight in kilograms,470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AEDZF...,1980,SERVICES: DEBIT,MILLIONS OF US$,-11066700,2011,"Iron or non-alloy steel; flat-rolled, width 600mm or more, painted, varnished or coated with plastics",Export,180472.042,76482,Weight in kilograms,76482
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AFDZF...,1980,BALANCE ON GOODS AND SERVICES,MILLIONS OF US$,-21859300,2011,"Iron or non-alloy steel; flat-rolled, width 600mm or more, painted, varnished or coated with plastics",Import,12272.951,5090,Weight in kilograms,5090
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AGDZF...,1980,INCOME: CREDIT,MILLIONS OF US$,1100000,2011,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with materials n.e.c. in heading no. 7210",Import,3192.219,1757,Weight in kilograms,1757
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AHDZF...,1980,INCOME: DEBIT,MILLIONS OF US$,-3200000,2011,"Iron or non-alloy steel; flat-rolled, hot-rolled, of a width less than 600mm, 4.75mm thick or more, excluding those of item no. 7211.13",Import,273.333,300,Weight in kilograms,300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AIDZF...,1979,"BALANCE ON GOODS, SERV. & INC.",MILLIONS OF US$,-14311100,2011,"Iron or non-alloy steel; flat-rolled, hot-rolled, of a width less than 600mm, less than 4.75mm thick, excluding those of item no. 7211.13",Import,1605.184,2214,Weight in kilograms,2214
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AHDZF...,1979,INCOME: DEBIT,MILLIONS OF US$,-600000,2011,"Iron or non-alloy steel; flat-rolled, n.e.c. in heading no. 7211, width less than 600mm",Import,3278.515,601,Weight in kilograms,601
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AGDZF...,1979,INCOME: CREDIT,MILLIONS OF US$,800000,2011,"Iron or non-alloy steel; flat-rolled, width less than 600mm, plated or coated with tin",Import,4339.255,500,Weight in kilograms,500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AFDZF...,1979,BALANCE ON GOODS AND SERVICES,MILLIONS OF US$,-14511100,2011,"Iron or non-alloy steel; flat-rolled, of a width less than 600mm, electrolytically plated or coated with zinc",Import,5665.55,989,Weight in kilograms,989
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AEDZF...,1979,SERVICES: DEBIT,MILLIONS OF US$,-12418500,2011,"Iron or non-alloy steel; flat-rolled, width less than 600mm, plated or coated with zinc (not electrolytically)",Import,20.741,12,Weight in kilograms,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878ADDZF...,1979,SERVICES: CREDIT,MILLIONS OF US$,19151900,2011,"Iron or non-alloy steel; flat-rolled, width less than 600mm, painted, varnished or coated with plastics",Import,11127.767,1533,Weight in kilograms,1533
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878ACDZF...,1979,TRADE BALANCE,MILLIONS OF US$,-21244400,2011,"Iron or non-alloy steel; flat-rolled, width less than 600mm, plated or coated, (excluding tin, zinc or plastic)",Import,145.926,20,Weight in kilograms,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878ABDZF...,1979,GOODS IMPORTS: F.O.B,MILLIONS OF US$,-42644400,2011,"Iron or non-alloy steel; flat-rolled, width less than 600mm, clad",Import,33957.003,22334,Weight in kilograms,22334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BGDZF...,1979,"PORTFOLIO INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,0,2011,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, of free-cutting steel",Import,177778.711,92000,Weight in kilograms,92000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BFDZF...,1979,PORTFOLIO INVESTMENT ASSETS,MILLIONS OF US$,0,2011,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7213, of circular cross-section measuring 14mm or more in diameter",Import,3477.404,2943,Weight in kilograms,2943
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BNDZF...,1979,PI DEBT SECURITIES LIAB,MILLIONS OF US$,0,2011,"Iron or non-alloy steel; bars and rods, forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling",Import,1628746.149,1496355,Weight in kilograms,1496355
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BPDZF...,1979,OI GEN GOVT ASSETS,MILLIONS OF US$,0,2011,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling",Export,28274.416,27045,Weight in kilograms,27045
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BHDZF...,1979,OTHER INVESTMENT ASSETS,MILLIONS OF US$,-5400000,2011,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling",Import,1145438.855,1344855,Weight in kilograms,1344855
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BIDZF...,1979,"OTHER INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,6844440,2011,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling",Re-Export,5389.624,2045,Weight in kilograms,2045
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BJDZF...,1979,"FINANCIAL ACCOUNT, N.I.E.",MILLIONS OF US$,1444440,2011,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, including those twisted after rolling, of free-cutting steel",Import,42311.81,46000,Weight in kilograms,46000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BKDZF...,1979,PI EQUITY SECURITIES ASSETS,MILLIONS OF US$,0,2011,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, n.e.c. in heading no. 7214, other than of rectangular cross-section",Import,45894.769,42426,Weight in kilograms,42426
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BLDZF...,1979,PI DEBT SECURITIES ASSETS,MILLIONS OF US$,0,2011,"Iron or non-alloy steel; bars and rods, n.e.c. in chapter 72, n.e.c. in heading no. 7215",Import,4085.551,2765,Weight in kilograms,2765
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BMDZF...,1979,PI EQUITY SECURITIES LIAB,MILLIONS OF US$,0,2011,"Iron or non-alloy steel; U, I or H sections, hot-rolled, hot-drawn or extruded, of a height of less than 80mm",Import,6.667,15,Weight in kilograms,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BEDZF...,1979,"DIR. INVEST. IN REP. ECON., N.I.E.",MILLIONS OF US$,0,2011,"Iron or non-alloy steel; T sections, hot-rolled, hot-drawn or extruded, of a height less than 80mm",Import,2315.924,315,Weight in kilograms,315
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BDDZF...,1979,DIRECT INVESTMENT ABROAD,MILLIONS OF US$,0,2011,"Iron or non-alloy steel; U sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,3207.775,2632,Weight in kilograms,2632
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BCDZF...,1979,"CAPITAL ACCOUNT, N.I.E.",MILLIONS OF US$,0,2011,"Iron or non-alloy steel; I sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,4340.366,220,Weight in kilograms,220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BBDZF...,1979,CAPITAL ACCOUNT:  DEBIT,MILLIONS OF US$,0,2011,"Iron or non-alloy steel; H sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,59538.459,37260,Weight in kilograms,37260
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BADZF...,1979,"CAPITAL ACCOUNT, N.I.E.:  CREDIT",MILLIONS OF US$,0,2011,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216, hot-rolled, hot-drawn or extruded",Import,79421.402,55330,Weight in kilograms,55330
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878ALDZF...,1979,"CURRENT ACCOUNT, N.I.E.",MILLIONS OF US$,-1111110,2011,"Iron or non-alloy steel; angles, shapes and sections, cold-formed or cold-finished, obtained from flat-rolled products",Import,17868.501,17125,Weight in kilograms,17125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AKDZF...,1979,CURRENT TRANSFERS: DEB,MILLIONS OF US$,-1700000,2011,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216, cold-formed or cold-finished, from flat-rolled products",Import,72511.409,56394,Weight in kilograms,56394
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AJDZF...,1979,"CURRENT TRANSFERS, N.I.E. : CRE",MILLIONS OF US$,14900000,2011,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216",Export,277.777,6,Weight in kilograms,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BQDZF...,1979,OI BANKS ASSETS,MILLIONS OF US$,-5400000,2011,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216",Import,25560.715,20765,Weight in kilograms,20765
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BRDZF...,1979,OI OTHER SECTORS ASSETS,MILLIONS OF US$,0,2011,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216",Re-Export,277.777,6,Weight in kilograms,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BSDZF...,1979,OI MON AUTH LIAB,MILLIONS OF US$,0,2011,"Iron or non-alloy steel; wire, (not plated or coated), whether or not polished",Import,12069.247,7060,Weight in kilograms,7060
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BTDZF...,1979,OI GEN GOVT LIAB,MILLIONS OF US$,1933330,2011,"Iron or non-alloy steel; wire, plated or coated with zinc",Import,929.258,254,Weight in kilograms,254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BUDZF...,1979,OI BANKS LIAB,MILLIONS OF US$,4629630,2011,"Iron or non-alloy steel; wire, n.e.c. in heading no. 7217",Export,3695.552,160,Weight in kilograms,160
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BVDZF...,1979,OI OTHER SECTORS LIAB,MILLIONS OF US$,281481,2011,"Iron or non-alloy steel; wire, n.e.c. in heading no. 7217",Import,20171.461,8267,Weight in kilograms,8267
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878CADZF...,1979,NET ERRORS AND OMISSIONS,MILLIONS OF US$,1409220,2011,"Iron or non-alloy steel; wire, n.e.c. in heading no. 7217",Re-Export,3695.552,160,Weight in kilograms,160
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AADZF...,1979,GOODS EXPORTS: F.O.B.,MILLIONS OF US$,21400000,2011,"Steel, stainless; semi-finished products, other than of rectangular cross-section",Import,441.481,110,Weight in kilograms,110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878CBDZF...,1979,OVERALL BALANCE,MILLIONS OF US$,1742550,2011,"Steel, stainless; flat-rolled, width 600mm or more, hot-rolled, in coils, of a thickness of 4.75mm or more but not exceeding 10mm",Import,190.37,23,Weight in kilograms,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878CBDZF...,1978,OVERALL BALANCE,MILLIONS OF US$,1032450,2011,"Steel, stainless; flat-rolled, width 600mm or more, cold-rolled or cold-reduced, of a thickness of 4.75mm or more",Import,9955.916,8538,Weight in kilograms,8538
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878CADZF...,1978,NET ERRORS AND OMISSIONS,MILLIONS OF US$,-1478660,2011,"Steel, stainless; flat-rolled, width 600mm or more, n.e.c. in heading no. 7219",Import,872.221,325,Weight in kilograms,325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BVDZF...,1978,OI OTHER SECTORS LIAB,MILLIONS OF US$,11111.1,2011,"Steel, stainless; flat-rolled, width less than 600mm, n.e.c. in heading no 7220",Import,2414.072,150,Weight in kilograms,150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BUDZF...,1978,OI BANKS LIAB,MILLIONS OF US$,-370370,2011,"Steel, stainless; bars and rods, n.e.c. in heading no. 7222",Import,100,18,Weight in kilograms,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BTDZF...,1978,OI GEN GOVT LIAB,MILLIONS OF US$,874074,2011,"Steel, stainless; angles, shapes and sections",Import,4.074,4,Weight in kilograms,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BSDZF...,1978,OI MON AUTH LIAB,MILLIONS OF US$,0,2011,"Steel, stainless; wire",Import,42.963,1,Weight in kilograms,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BRDZF...,1978,OI OTHER SECTORS ASSETS,MILLIONS OF US$,0,2011,"Steel, alloy; semi-finished products",Import,70.37,10,Weight in kilograms,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BNDZF...,1978,PI DEBT SECURITIES LIAB,MILLIONS OF US$,0,2011,"Steel, alloy; bars and rods n.e.c. in heading no. 7228",Import,3134.441,741,Weight in kilograms,741
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BQDZF...,1978,OI BANKS ASSETS,MILLIONS OF US$,-451852,2011,"Steel, alloy; angles, shapes and sections",Import,982.221,363,Weight in kilograms,363
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BPDZF...,1978,OI GEN GOVT ASSETS,MILLIONS OF US$,0,2011,"Steel, alloy or non-alloy; hollow drill bars and rods",Import,3458.515,250,Weight in kilograms,250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AADZF...,1978,GOODS EXPORTS: F.O.B.,MILLIONS OF US$,16900000,2011,"Steel, alloy; wire, of materials other than silico-manganese steel",Import,506.296,186,Weight in kilograms,186
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878ABDZF...,1978,GOODS IMPORTS: F.O.B,MILLIONS OF US$,-33351900,2010,"Iron; non-alloy pig iron containing by weight 0.5% or less of phosphorus, in pigs, blocks or other primary forms",Re-Export,185.185,4,Weight in kilograms,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878ACDZF...,1978,TRADE BALANCE,MILLIONS OF US$,-16451900,2010,"Iron; non-alloy pig iron containing by weight 0.5% or less of phosphorus, in pigs, blocks or other primary forms",Export,185.185,4,Weight in kilograms,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878ADDZF...,1978,SERVICES: CREDIT,MILLIONS OF US$,16400000,2010,Ferro-alloys; n.e.c. in heading no. 7202,Import,57.037,1,Weight in kilograms,1
